example_id                                                            | status  | run_time        |
./spec/models/user_spec.rb[1:5:1:1]                                   | passed  | 0.02686 seconds |
./spec/models/user_spec.rb[1:5:1:2]                                   | passed  | 0.02367 seconds |
./spec/models/user_spec.rb[1:5:2:1]                                   | passed  | 0.06397 seconds |
./spec/models/user_spec.rb[1:5:2:2]                                   | passed  | 0.03917 seconds |
./spec/models/user_spec.rb[1:6:1]                                     | passed  | 0.0281 seconds  |
./spec/models/user_spec.rb[1:6:2]                                     | passed  | 0.02688 seconds |
./spec/models/user_spec.rb[1:6:3]                                     | passed  | 0.00672 seconds |
./spec/models/user_spec.rb[1:7:1:1]                                   | passed  | 0.00735 seconds |
./spec/models/user_spec.rb[1:7:2:1]                                   | passed  | 0.01803 seconds |
./spec/models/user_spec.rb[1:7:3:1]                                   | passed  | 0.01835 seconds |
./spec/models/user_spec.rb[1:7:3:2]                                   | passed  | 0.0157 seconds  |
./spec/models/user_spec.rb[1:7:3:3]                                   | passed  | 0.01728 seconds |
./spec/models/user_spec.rb[1:7:4:1]                                   | passed  | 0.04283 seconds |
./spec/models/user_spec.rb[1:7:4:2]                                   | passed  | 0.03552 seconds |
./spec/models/user_spec.rb[1:7:4:3]                                   | passed  | 0.06957 seconds |
./spec/models/user_spec.rb[1:7:5:1:1]                                 | passed  | 0.04849 seconds |
./spec/models/user_spec.rb[1:7:5:2:1]                                 | passed  | 0.02038 seconds |
./spec/models/user_spec.rb[1:7:5:2:2]                                 | passed  | 0.0289 seconds  |
./spec/models/user_spec.rb[1:7:5:3:1]                                 | passed  | 0.01433 seconds |
./spec/models/user_spec.rb[1:7:5:3:2]                                 | passed  | 0.03104 seconds |
./spec/models/user_spec.rb[1:7:5:4:1]                                 | passed  | 0.01366 seconds |
./spec/models/user_spec.rb[1:7:5:4:2]                                 | passed  | 0.02506 seconds |
./spec/models/user_spec.rb[1:8:1]                                     | passed  | 0.01184 seconds |
./spec/models/user_spec.rb[1:8:2]                                     | passed  | 0.01193 seconds |
./spec/models/user_spec.rb[1:8:3]                                     | passed  | 0.00636 seconds |
